_id,objectid,name,area_sq_mi,shape_area,shape_length
4027,1,Becks Run Basin,2.19028018657,61061239.4919739,55214.6993102751
4028,2,Thompson Run Basin,0.479928131914,13379569.9585266,21481.59349666
4029,3,Streets Run Basin,2.01159120487,56079697.9637146,68195.3809580349
4030,4,Shades Run Basin,0.177302510137,4942888.19335938,11495.0624418555
4031,5,Saw Mill Run Basin,10.4383357775,291002824.555969,110745.331751638
4032,6,Nine Mile Run Basin,2.91361602054,81226597.598938,62513.3426381244
4033,7,Nelson Run Basin,0.0935321141672,2607514.18005371,12100.3200536947
4034,8,Jacks Run Basin,0.441186071868,12299507.9581299,24224.4223785731
4035,9,Chartiers Creek Basin,3.20403581629,89322999.9967041,90978.4308006516
4036,10,Allegheny River Basin,17.6121440974,490996247.075195,162697.790784449
4037,11,Ohio River Basin,6.6416866969,185158787.277435,78724.035024529
4038,12,Monongahela River Basin,12.3982183785,345640977.015503,155887.396046788
